store_id,city,Jan,Feb,Mar,Apr,May,Jun,July,Aug,Sep,Oct,Nov,Dec
S_81,California,22,9,20,12,6,20,8,16,15,14,24,10
S_82,Texas,6,19,8,14,13,16,9,7,10,16,23,10
S_83,California,16,5,6,12,20,21,17,6,12,9,22,15
S_84,California,13,12,12,5,7,16,12,21,20,19,22,13
S_85,Texas,11,7,22,16,16,14,9,23,19,5,6,11
S_86,California,15,23,24,18,21,17,23,13,12,11,24,13
S_87,Texas,19,20,10,13,12,5,20,23,21,14,24,22
S_88,Texas,6,12,17,19,8,7,19,17,19,14,13,17
S_89,California,14,14,14,9,15,6,10,16,9,10,7,19
S_90,California,8,23,21,14,15,6,5,14,23,8,5,21
S_91,Texas,14,5,5,9,18,6,11,13,17,9,10,15
S_92,California,14,16,17,13,13,10,17,23,7,23,10,22
S_93,California,20,13,15,12,15,19,21,22,10,21,23,13
S_94,California,19,18,14,21,5,7,8,21,11,21,15,7
S_95,California,10,22,13,20,5,5,9,15,23,23,24,7
S_96,Texas,7,10,20,20,10,15,15,21,15,7,23,22
S_97,California,13,6,7,15,22,10,21,23,10,6,12,9
S_98,Texas,16,9,6,14,20,13,11,10,8,22,17,22
S_99,Arizona,18,16,9,5,12,22,11,13,21,17,19,10
S_100,California,5,23,17,24,15,21,19,10,12,20,5,9
